series_code,prefix,sa,state,area,supersector_industry,data_type,bls_ind_name,emp_2019_11,emp_2020_11,unemp_chg_pct
SMU36000001500000001,SM,U,36,00000,15000000,01,"Mining, Logging and Construction",411500,383800,-0.06731470230862698
SMU36000002000000001,SM,U,36,00000,20000000,01,Construction,406000,379100,-0.06625615763546798
SMU36000003000000001,SM,U,36,00000,30000000,01,Manufacturing,438300,394900,-0.09901893680127766
SMU36000004000000001,SM,U,36,00000,40000000,01,"Trade, Transportation, and Utilities",1581900,1426600,-0.09817308300145394
SMU36000005000000001,SM,U,36,00000,50000000,01,Information,284100,272500,-0.04083069341781063
SMU36000005500000001,SM,U,36,00000,55000000,01,Financial Activities,728300,688500,-0.05464780996841961
SMU36000006000000001,SM,U,36,00000,60000000,01,Professional and Business Services,1394700,1252800,-0.10174231017423102
SMU36000006500000001,SM,U,36,00000,65000000,01,Education and Health Services,2200500,2056900,-0.06525789593274256
SMU36000007000000001,SM,U,36,00000,70000000,01,Leisure and Hospitality,947700,618500,-0.3473673103302733
SMU36000008000000001,SM,U,36,00000,80000000,01,Other Services,418700,364100,-0.13040363028421303
SMU36000009000000001,SM,U,36,00000,90000000,01,Government,1513100,1473200,-0.026369704580001322
